Gene	Synonymns	Description
MRSS	-	Mental retardation, X-linked, with short stature
C1QTNF1	CTRP1|GIP|ZSIG37	C1q and TNF related 1
C1QTNF2	CTRP2|zacrp2	C1q and TNF related 2
C1QTNF3	C1ATNF3|CORCS|CORS|CORS-26|CORS26|CTRP3	C1q and TNF related 3
C1QTNF4	CTRP4|ZACRP4	C1q and TNF related 4
C1QTNF5	CTRP5|MFRP	C1q and TNF related 5
C1QTNF6	CTFP6|CTRP6|ZACRP6	C1q and TNF related 6
C1QTNF7	CTRP7|ZACRP7	C1q and TNF related 7
FBXO32	Fbx32|MAFbx	F-box protein 32
TMEM123	KCT3|PORIMIN|PORMIN	transmembrane protein 123
EPB41L4A-AS1	C5orf26|NCRNA00219|TIGA1	EPB41L4A antisense RNA 1
SMIM19	C8orf40	small integral membrane protein 19
GPRASP2	DFNX7|GASP2	G protein-coupled receptor associated sorting protein 2
MRFAP1L1	PP784	Morf4 family associated protein 1 like 1
TSGA13	-	testis specific 13
PTPMT1	DUSP23|MOSP|PLIP|PNAS-129	protein tyrosine phosphatase, mitochondrial 1
FLYWCH2	-	FLYWCH family member 2
WDR31	-	WD repeat domain 31
VASN	SLITL2	vasorin
ZNF618	FP13169|NEDD10	zinc finger protein 618
CGAS	C6orf150|MB21D1|h-cGAS	cyclic GMP-AMP synthase
SLC26A9	-	solute carrier family 26 member 9
NT5C3B	NT5C3L|cN-IIIB	5'-nucleotidase, cytosolic IIIB
CCDC124	-	coiled-coil domain containing 124
HAUS1	CCDC5|HEI-C|HEIC|HsT1461	HAUS augmin like complex subunit 1
TNFRSF14-AS1	-	TNFRSF14 antisense RNA 1
SLC26A7	SUT2	solute carrier family 26 member 7
MARCH3	MARCH-III|RNF173	membrane associated ring-CH-type finger 3
ZNF554	-	zinc finger protein 554
ATG4A	APG4A|AUTL2	autophagy related 4A cysteine peptidase
KCTD12	C13orf2|PFET1|PFETIN	potassium channel tetramerization domain containing 12
OMA1	2010001O09Rik|DAB1|MPRP-1|MPRP1|YKR087C|ZMPOMA1|peptidase	OMA1 zinc metallopeptidase
DDIT4L	REDD2|Rtp801L	DNA damage inducible transcript 4 like
RAB42	-	RAB42, member RAS oncogene family
SLC25A26	COXPD28|SAMC	solute carrier family 25 member 26
FBXO17	FBG4|FBX26|FBXO26|Fbx17	F-box protein 17
PCMTD1	-	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
GPR146	PGR8	G protein-coupled receptor 146
FCRL1	CD307a|FCRH1|IFGP1|IRTA5	Fc receptor like 1
FCRL3	CD307c|FCRH3|IFGP3|IRTA3|SPAP2	Fc receptor like 3
LRRC42	dJ167A19.4	leucine rich repeat containing 42
GBP4	Mpa2	guanylate binding protein 4
GBP5	GBP-5	guanylate binding protein 5
LRRC56	-	leucine rich repeat containing 56
MALSU1	C7orf30|mtRsfA	mitochondrial assembly of ribosomal large subunit 1
UHRF2	NIRF|RNF107|TDRD23|URF2	ubiquitin like with PHD and ring finger domains 2
ZNF689	TIPUH1	zinc finger protein 689
FCHO2	-	FCH domain only 2
ARHGEF25	GEFT|p63RhoGEF	Rho guanine nucleotide exchange factor 25
ZNF501	ZNF|ZNF52	zinc finger protein 501
TENT5B	FAM46B	terminal nucleotidyltransferase 5B
SLC5A11	KST1|RKST1|SGLT6|SMIT2	solute carrier family 5 member 11
TNFRSF13C	BAFF-R|BAFFR|BROMIX|CD268|CVID4|prolixin	TNF receptor superfamily member 13C
KIR3DL3	CD158Z|KIR3DL7|KIR44|KIRC1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
NOSTRIN	DaIP2	nitric oxide synthase trafficking
ALPK2	HAK	alpha kinase 2
ARHGAP33	NOMA-GAP|SNX26|TCGAP	Rho GTPase activating protein 33
EVI5L	-	ecotropic viral integration site 5 like
TRMT61A	C14orf172|GCD14|Gcd14p|TRM61|hTRM61	tRNA methyltransferase 61A
RASGRP4	-	RAS guanyl releasing protein 4
C12orf56	-	chromosome 12 open reading frame 56
DIS3L	DIS3L1	DIS3 like exosome 3'-5' exoribonuclease
ARL11	ARLTS1	ADP ribosylation factor like GTPase 11
FANCD2OS	C3orf24	FANCD2 opposite strand
IQCD	4933433C09Rik|CFAP84|DRC10	IQ motif containing D
DHRS1	SDR19C1	dehydrogenase/reductase 1
WDFY2	PROF|WDF2|ZFYVE22	WD repeat and FYVE domain containing 2
RAB3C	-	RAB3C, member RAS oncogene family
NXNL1	RDCVF|TXNL6	nucleoredoxin like 1
CTHRC1	-	collagen triple helix repeat containing 1
TSR3	C16orf42	TSR3, acp transferase ribosome maturation factor
CCDC151	CILD30	coiled-coil domain containing 151
ZNF653	E430039K05Rik|ZIP67	zinc finger protein 653
RNF166	-	ring finger protein 166
RMI2	BLAP18|C16orf75	RecQ mediated genome instability 2
OSR2	-	odd-skipped related transciption factor 2
LRRC58	-	leucine rich repeat containing 58
LYSMD3	-	LysM domain containing 3
BATF2	SARI	basic leucine zipper ATF-like transcription factor 2
SLC22A12	OAT4L|RST|URAT1	solute carrier family 22 member 12
DNTTIP1	C20orf167|Tdif1|dJ447F3.4	deoxynucleotidyltransferase terminal interacting protein 1
DIRC1	-	disrupted in renal carcinoma 1
FOXP4	hFKHLA	forkhead box P4
ZNF526	-	zinc finger protein 526
FMO9P	-	flavin containing monooxygenase 9, pseudogene
LRRC3B	LRP15	leucine rich repeat containing 3B
KLHDC3	PEAS|dJ20C7.3	kelch domain containing 3
WDR92	-	WD repeat domain 92
RPL12P4	RPL12_23_1714|dJ800C24.1	ribosomal protein L12 pseudogene 4
NUS1	C6orf68|CDG1AA|MGC:7199|MRD55|NgBR|TANGO14	NUS1, dehydrodolichyl diphosphate synthase subunit
FAM210B	5A3|C20orf108|dJ1167H4.1	family with sequence similarity 210 member B
PHACTR3	C20orf101|H17739|PPP1R123|SCAPIN1|SCAPININ	phosphatase and actin regulator 3
CYYR1	C21orf95	cysteine and tyrosine rich 1
CMTM5	CKLFSF5	CKLF like MARVEL transmembrane domain containing 5
TGM7	TGMZ	transglutaminase 7
TM4SF19	OCTM4	transmembrane 4 L six family member 19
FAM122A	C9orf42	family with sequence similarity 122A
ZMYND19	MIZIP	zinc finger MYND-type containing 19
COX20	FAM36A	cytochrome c oxidase assembly factor COX20
ABHD15	-	abhydrolase domain containing 15
TLCD1	-	TLC domain containing 1
GINM1	C6orf72	glycoprotein integral membrane 1
MOGAT1	DGAT2L|DGAT2L1|MGAT1	monoacylglycerol O-acyltransferase 1
ACSM1	BUCS1|MACS1	acyl-CoA synthetase medium chain family member 1
C8orf34	VEST-1|VEST1	chromosome 8 open reading frame 34
PANX3	PX3	pannexin 3
EXOC3-AS1	C5orf55	EXOC3 antisense RNA 1
RBP7	CRABP4|CRBP4|CRBPIV	retinol binding protein 7
SLC26A8	SPGF3|TAT1	solute carrier family 26 member 8
LYPD1	LYPDC1|PHTS	LY6/PLAUR domain containing 1
IL22RA2	CRF2-10|CRF2-S1|CRF2X|IL-22BP|IL-22R-alpha-2|IL-22RA2|ZCYTOR16	interleukin 22 receptor subunit alpha 2
ZNF837	-	zinc finger protein 837
LINC01257	-	long intergenic non-protein coding RNA 1257
TM4SF18	L6D	transmembrane 4 L six family member 18
RAB39B	BGMR|MRX72|WSMN|WSN	RAB39B, member RAS oncogene family
GRIN3A	GluN3A|NMDAR-L|NR3A	glutamate ionotropic receptor NMDA type subunit 3A
GRIN3B	GluN3B|NR3B	glutamate ionotropic receptor NMDA type subunit 3B
TOP1MT	-	DNA topoisomerase I mitochondrial
OLIG1	BHLHB6|BHLHE21	oligodendrocyte transcription factor 1
CLNK	MIST	cytokine dependent hematopoietic cell linker
TSEN15	C1orf19|PCH2F|sen15	tRNA splicing endonuclease subunit 15
FAM129A	C1orf24|GIG39|NIBAN	family with sequence similarity 129 member A
MAS1L	MAS-L|MRG|dJ994E9.2	MAS1 proto-oncogene like, G protein-coupled receptor
MRGPRD	MRGD|TGR7	MAS related GPR family member D
APOA5	APOAV|RAP3	apolipoprotein A5
MRGPRE	GPR167|MGRF|MRGE	MAS related GPR family member E
MRGPRF	GPR140|GPR168|MRGF|RTA	MAS related GPR family member F
MRPL53	L53MT	mitochondrial ribosomal protein L53
MRPL54	L54mt|MRP-L54	mitochondrial ribosomal protein L54
HTX3	-	Heterotaxy, visceral, 3
FRA18C	-	fragile site, aphidicolin type, common, fra(18)(q22.2)
PPP1R27	DYSFIP1	protein phosphatase 1 regulatory subunit 27
RPL37P2	PSANK1|RPL37_9_1150	ribosomal protein L37 pseudogene 2
RPL38P1	RPL38_1_417	ribosomal protein L38 pseudogene 1
N4BP2L2-IT2	CG030	N4BPL2 intronic transcript 2
RPL39L	L39-2|RPL39L1	ribosomal protein L39 like
ANIB1	AIB|AIB1	aneurysm, intracranial berry 1
HSPA12B	C20orf60	heat shock protein family A (Hsp70) member 12B
CNTROB	LIP8|PP1221	centrobin, centriole duplication and spindle assembly protein
SNAP47	C1orf142|ESFI5812|HEL-S-290|HEL170|SNAP-47|SVAP1	synaptosome associated protein 47
LEAP2	LEAP-2	liver enriched antimicrobial peptide 2
SLC18B1	C6orf192|dJ55C23.6	solute carrier family 18 member B1
LRG1	HMFT1766|LRG	leucine rich alpha-2-glycoprotein 1
MED12L	NOPAR|TNRC11L|TRALP|TRALPUSH	mediator complex subunit 12 like
CLRN1-AS1	CLRN1OS|UCRP	CLRN1 antisense RNA 1
RPL3P2	RPL3-Hom|RPL3_1_679	ribosomal protein L3 pseudogene 2
SNORD139	RNU86|U82|U86	small nucleolar RNA, C/D box 139
SNORD83A	RNU83A|U83A	small nucleolar RNA, C/D box 83A
SNORD83B	RNU83B|U83B	small nucleolar RNA, C/D box 83B
WDR17	-	WD repeat domain 17
ART5	ARTC5	ADP-ribosyltransferase 5
ACAP3	CENTB5	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ARAP2	CENTD1|PARX	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
ARAP1	CENTD2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
AGAP2	CENTG1|GGAP2|PIKE	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
AGAP1	AGAP-1|CENTG2|GGAP1|cnt-g2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
AGAP3	AGAP-3|CENTG3|CRAG|MRIP-1|cnt-g3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
CANDF1	CMCT	candidiasis, familial 1
TADA1	ADA1|HFI1|STAF42|TADA1L|hADA1	transcriptional adaptor 1
CATSPER1	CATSPER|SPGF7	cation channel sperm associated 1
THEM4	CTMP	thioesterase superfamily member 4
SLC31A1P1	CTR1P|CTR1psi|SLC31A1P	solute carrier family 31 member 1 pseudogene 1
DACH2	-	dachshund family transcription factor 2
CATSPER2	-	cation channel sperm associated 2
SCGB3A2	LU103|PNSP1|UGRP1|pnSP-1	secretoglobin family 3A member 2
SH2D1B	EAT2	SH2 domain containing 1B
DCD	AIDD|DCD-1|DSEP|HCAP|PIF	dermcidin
WFIKKN1	C16orf12|RJD2|WFDC20A|WFIKKN	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
RAB3IP	RABIN3|RABIN8	RAB3A interacting protein
SSX2IP	ADIP|hMsd1	SSX family member 2 interacting protein
ATOD3	-	Dermatitis, atopic, 3
ATOD5	ATPD5	Dermatitis, atopic, 5
GRDX	GD3	Graves disease, susceptibility to, X-linked
HPE6	-	holoprosencephaly 6
HYT1	-	Hypertension, essential, susceptibility to, 1
MNRI	-	meningioma, radiation-induced
THMA	THM	Tibial hemimelia
MRGPRX2	MGRG3|MRGX2	MAS related GPR family member X2
MRGPRX3	GPCR|MRGX3|SNSR1|SNSR2	MAS related GPR family member X3
MRGPRX4	GPCR|MRGX4|SNSR6	MAS related GPR family member X4
SXI2	-	X inactivation, familial skewed, 2
HRASLS5	HRLP5|HRSL5|RLP1|iNAT	HRAS like suppressor family member 5
FTSJ3	EPCS3|SPB1	FtsJ RNA methyltransferase homolog 3
SLC16A10	MCT10|PRO0813|TAT1	solute carrier family 16 member 10
GALNT15	GALNACT15|GALNT13|GALNT7|GALNTL2|PIH5|pp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15
IP6K3	IHPK3|INSP6K3	inositol hexakisphosphate kinase 3
DEFB118	C20orf63|DEFB-18|ESC42|ESP13.6	defensin beta 118
CIB3	KIP3	calcium and integrin binding family member 3
TAGAP	ARHGAP47|FKSG15|IDDM21|TAGAP1	T cell activation RhoGTPase activating protein
TMC1	DFNA36|DFNB11|DFNB7	transmembrane channel like 1
TMC2	C20orf145	transmembrane channel like 2
RLN3	H3|RXN3|ZINS4|insl7	relaxin 3
TWIST2	AMS|BBRSAY|DERMO1|FFDD3|SETLSS|bHLHa39	twist family bHLH transcription factor 2
PARD3B	ALS2CR19|PAR3B|PAR3L|PAR3beta	par-3 family cell polarity regulator beta
RFFL	CARP-2|CARP2|FRING|RIFIFYLIN|RNF189|RNF34L	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
ZNF354B	KID2	zinc finger protein 354B
TRIM6	RNF89	tripartite motif containing 6
LINC00161	C21orf100|Linc-USP16|NCRNA00161	long intergenic non-protein coding RNA 161
UBE2J2	NCUBE-2|NCUBE2|PRO2121	ubiquitin conjugating enzyme E2 J2
PCAT4	GDEP|PCA4|PCAN1	prostate cancer associated transcript 4
BORCS5	LOH12CR1|LOH1CR12	BLOC-1 related complex subunit 5
OLFM3	NOE3|NOELIN3|OPTIMEDIN	olfactomedin 3
ANTXR2	CMG-2|CMG2|HFS|ISH|JHF	ANTXR cell adhesion molecule 2
MUCL1	SBEM	mucin like 1
RPL29P2	RPL29_10_1510	ribosomal protein L29 pseudogene 2
RPL23AP7	RPL23AL1|RPL23A_6_267|bA395L14.9	ribosomal protein L23a pseudogene 7
GPR62	GPCR8|KPG_005	G protein-coupled receptor 62
EXOSC6	EAP4|MTR3|Mtr3p|hMtr3p|p11	exosome component 6
C10orf71	CEFIP	chromosome 10 open reading frame 71
PRAP1	PRO1195|UPA	proline rich acidic protein 1
ZNF511	-	zinc finger protein 511
CHCHD1	C10orf34|C2360|MRP-S37	coiled-coil-helix-coiled-coil-helix domain containing 1
MSS51	ZMYND17	MSS51 mitochondrial translational activator
CFAP70	TTC18	cilia and flagella associated protein 70
C10orf90	FATS|bA422P15.2	chromosome 10 open reading frame 90
BTBD16	C10orf87	BTB domain containing 16
FAM24A	-	family with sequence similarity 24 member A
PSTK	C10orf89	phosphoseryl-tRNA kinase
ZNF488	-	zinc finger protein 488
PIK3AP1	BCAP	phosphoinositide-3-kinase adaptor protein 1
MORN4	C10orf83|UTA|bA548K23.4|rtp	MORN repeat containing 4
ZFYVE27	PROTRUDIN|SPG33	zinc finger FYVE-type containing 27
MMP21	HTX7|MMP-21	matrix metallopeptidase 21
COMTD1	-	catechol-O-methyltransferase domain containing 1
FRA10AC1	C10orf4|F26C11.1-like|FRA10A	FRA10A associated CGG repeat 1
ANKRD22	-	ankyrin repeat domain 22
CTSLP1	CTSL1P1|CTSLL|CTSLL1	cathepsin L pseudogene 1
SFXN2	SLC56A2	sideroflexin 2
PDZD8	PDZK8	PDZ domain containing 8
AGAP4	AGAP-4|AGAP-8|AGAP8|CTGLF1|CTGLF5|MRIP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4
BORCS7	C10orf32	BLOC-1 related complex subunit 7
LYZL2	LYZD2	lysozyme like 2
SNRPD2P1	SNRPD2P|bA478K7.1	small nuclear ribonucleoprotein D2 pseudogene 1
NUDT9P1	C10orf98|bA56M3.1	nudix hydrolase 9 pseudogene 1
AGAP11	-	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11
GSTO2	GSTO 2-2|bA127L20.1	glutathione S-transferase omega 2
SFR1	C10orf78|MEI5|MEIR5|bA373N18.1	SWI5 dependent homologous recombination repair protein 1
CALHM3	FAM26A|bA225H22.7	calcium homeostasis modulator 3
CTAGE7P	CTAGE7|CTAGEP|bA500G10.2|rcCTAGE5	CTAGE family member 7, pseudogene
CLRN3	TMEM12|USH3AL1	clarin 3
ANAPC16	APC16|C10orf104|CENP-27|MSAG|bA570G20.3	anaphase promoting complex subunit 16
PNLIPRP3	-	pancreatic lipase related protein 3
SFXN4	BCRM1|COXPD18|SLC56A4	sideroflexin 4
CPXM2	CPX2|UNQ676	carboxypeptidase X, M14 family member 2
OR52E2	-	olfactory receptor family 52 subfamily E member 2
OR52J3	OR11-32	olfactory receptor family 52 subfamily J member 3
OR51L1	OR11-31	olfactory receptor family 51 subfamily L member 1
OR51A7	OR11-27	olfactory receptor family 51 subfamily A member 7
OR51S1	OR11-24	olfactory receptor family 51 subfamily S member 1
OR51F2	OR11-23	olfactory receptor family 51 subfamily F member 2
OR52R1	OR11-22	olfactory receptor family 52 subfamily R member 1 (gene/pseudogene)
OR51N1P	-	olfactory receptor family 51 subfamily N member 1 pseudogene
C11orf74	HEPIS|NWC	chromosome 11 open reading frame 74
KRT18P14	KRT18L4	keratin 18 pseudogene 14
OR4C46	-	olfactory receptor family 4 subfamily C member 46
OR4C2P	OR4C8P	olfactory receptor family 4 subfamily C member 2 pseudogene
OR4X2	OR11-105	olfactory receptor family 4 subfamily X member 2 (gene/pseudogene)
OR4B1	OR11-106|OST208	olfactory receptor family 4 subfamily B member 1
OR52M1	OR11-11|OR52M1P|OR52M3P	olfactory receptor family 52 subfamily M member 1
OR52K2	OR11-7	olfactory receptor family 52 subfamily K member 2
OR52P2P	-	olfactory receptor family 52 subfamily P member 2 pseudogene
OR5P2	JCG3|JCG4	olfactory receptor family 5 subfamily P member 2
OR5P3	JCG1	olfactory receptor family 5 subfamily P member 3
LARGE2	GYLTL1B|PP5656	LARGE xylosyl- and glucuronyltransferase 2
SLC36A4	PAT4	solute carrier family 36 member 4
FAT3	CDHF15|CDHR10|hFat3	FAT atypical cadherin 3
UBTFL2	-	UBTF like 2 (pseudogene)
TRIM64	C11orf28|TRIM64A	tripartite motif containing 64
TMEM45B	-	transmembrane protein 45B
CYP2R1	-	cytochrome P450 family 2 subfamily R member 1
DBX1	-	developing brain homeobox 1
RPS6P17	RPS6_7_1168	ribosomal protein S6 pseudogene 17
CSNK1A1P2	-	casein kinase 1 alpha 1 pseudogene 2
HNRNPA1P60	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 60
COLCA2	C11orf93|CASC13|LOH11CR1G	colorectal cancer associated 2
PIH1D2	-	PIH1 domain containing 2
NXPE1	FAM55A	neurexophilin and PC-esterase domain family member 1
NXPE2	FAM55B	neurexophilin and PC-esterase domain family member 2
JAML	AMICA|AMICA1|CREA7-1|CREA7-4|Gm638	junction adhesion molecule like
CTBP2P6	-	C-terminal binding protein 2 pseudogene 6
DNAJC24	DPH4|JJJ3|ZCSL3	DnaJ heat shock protein family (Hsp40) member C24
CYCSP25	HC10|HCP25	cytochrome c, somatic pseudogene 25
ARL14EP	ARF7EP|C11orf46|dJ299F11.1	ADP ribosylation factor like GTPase 14 effector protein
OR8I2	OR11-170	olfactory receptor family 8 subfamily I member 2
OR2D3	OR11-89	olfactory receptor family 2 subfamily D member 3
OR2D2	OR11-610|OR2D1|hg27	olfactory receptor family 2 subfamily D member 2
OR52W1	OR11-71|OR52W1P	olfactory receptor family 52 subfamily W member 1
OR56A4	OR11-49	olfactory receptor family 56 subfamily A member 4
OR56A1	OR11-75	olfactory receptor family 56 subfamily A member 1
TRIM51GP	-	tripartite motif-containing 51G, pseudogene
DEPDC4	DEP.4	DEP domain containing 4
RPL7P38	RPL7_24_1261	ribosomal protein L7 pseudogene 38
LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	leucine rich repeat kinase 2
CCDC38	-	coiled-coil domain containing 38
TMEM52B	C12orf59	transmembrane protein 52B
FAM186A	-	family with sequence similarity 186 member A
TUBB8P5	-	tubulin beta 8 class VIII pseudogene 5
CYCSP30	HCP30	cytochrome c, somatic pseudogene 30
C12orf45	-	chromosome 12 open reading frame 45
KRT18P20	-	keratin 18 pseudogene 20
OR2AP1	OR2AP1P	olfactory receptor family 2 subfamily AP member 1
OR10P1	OR10P1P|OR10P2P|OR10P3P|OR12-7|OST701	olfactory receptor family 10 subfamily P member 1
PSMB3P1	PSMB3P	proteasome subunit beta 3 pseudogene 1
SDR9C7	ARCI13|RDHS|SDR-O|SDRO	short chain dehydrogenase/reductase family 9C member 7
LRIG3	LIG3	leucine rich repeats and immunoglobulin like domains 3
TMEM132D	MOLT|PPP1R153	transmembrane protein 132D
SLC15A4	FP12591|PHT1|PTR4	solute carrier family 15 member 4
RHEBL1	RHEBL1c	RHEB like 1
OR11M1P	-	olfactory receptor family 11 subfamily M member 1 pseudogene
C12orf54	HSD-29|HSD-30	chromosome 12 open reading frame 54
ZNF641	-	zinc finger protein 641
OR10AD1	OR10AD1P|OR12-1	olfactory receptor family 10 subfamily AD member 1
TPH2	ADHD7|NTPH	tryptophan hydroxylase 2
LOC121296	-	transmembrane protein 132B pseudogene
GGTA2P	GGTA1P|GLYT2L|GLYT3|HGT2	glycoprotein, alpha-galactosyltransferase 2, pseudogene
SP7	OI11|OI12|OSX|osterix	Sp7 transcription factor
GTSF1	FAM112B	gametocyte specific factor 1
OR9K1P	OR12-4	olfactory receptor family 9 subfamily K member 1 pseudogene
OR10A7	OR12-6	olfactory receptor family 10 subfamily A member 7
KRT74	ADWH|HTSS2|HYPT3|K6IRS4|KRT5C|KRT6IRS4	keratin 74
NEDD1	GCP-WD|TUBGCP7	neural precursor cell expressed, developmentally down-regulated 1
SLC9A7P1	-	solute carrier family 9 member 7 pseudogene 1
IKBIP	IKIP	IKBKB interacting protein
LDHAL6CP	LDH6C	lactate dehydrogenase A like 6C, pseudogene
HIST4H4	H4/p	histone cluster 4 H4
ERP27	C12orf46|PDIA8	endoplasmic reticulum protein 27
FGD4	CMT4H|FRABP|ZFYVE6	FYVE, RhoGEF and PH domain containing 4
GOT2P4	GOT2L4	glutamic-oxaloacetic transaminase 2 pseudogene 4
AEBP2	-	AE binding protein 2
ASCL4	HASH4|bHLHa44	achaete-scute family bHLH transcription factor 4
BTBD11	ABTB2B	BTB domain containing 11
SPIC	SPI-C	Spi-C transcription factor
ANO4	TMEM16D	anoctamin 4
ALKBH2	ABH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase
FOXN4	-	forkhead box N4
SPPL3	IMP2|MDHV1887|PRO4332|PSH1|PSL4	signal peptide peptidase like 3
PEX12P1	-	peroxisomal biogenesis factor 12 pseudogene 1
CHDM	-	Chordoma
TEX29	C13orf16|bA474D23.1	testis expressed 29
LINC00284	NCRNA00284	long intergenic non-protein coding RNA 284
PSMA6P4	-	proteasome subunit alpha 6 pseudogene 4
CYCSP35	HC8|HCP35	cytochrome c, somatic pseudogene 35
METTL21EP	METTL21CP1	methyltransferase like 21E, pseudogene
PPIAP26	-	peptidylprolyl isomerase A pseudogene 26
CSNK1A1L	CK1	casein kinase 1 alpha 1 like
TOMM22P3	-	TOMM22 pseudogene 3
RXFP2	GPR106|GREAT|INSL3R|LGR8|LGR8.1|RXFPR2	relaxin family peptide receptor 2
TEX26	C13orf26	testis expressed 26
SLAIN1	C13orf32	SLAIN motif family member 1
RIOK3P1	-	RIO kinase 3 pseudogene 1
PRR20A	PRR20|PRR20B|PRR20C|PRR20D|PRR20E	proline rich 20A
LGMNP1	LGMN2P	legumain pseudogene 1
SPACA7	C13orf28	sperm acrosome associated 7
PPIAP24	-	peptidylprolyl isomerase A pseudogene 24
TDRD9	C14orf75|HIG-1|HLS|NET54|SPGF30|SPNE	tudor domain containing 9
RPL21P12	-	ribosomal protein L21 pseudogene 12
ANKRD9	-	ankyrin repeat domain 9
RPS29P1	RPS29_5_1384	ribosomal protein S29 pseudogene 1
AK7	AK 7|SPGF27	adenylate kinase 7
IFI27L1	FAM14B|ISG12C	interferon alpha inducible protein 27 like 1
C14orf28	DRIP-1|DRIP1|c14_5270	chromosome 14 open reading frame 28
PPIAP4	-	peptidylprolyl isomerase A pseudogene 4
TRAPPC6B	NEDMEBA|TPC6	trafficking protein particle complex 6B
RPLP0P3	RPLP0_4_1355	ribosomal protein lateral stalk subunit P0 pseudogene 3
KRT18P6	-	keratin 18 pseudogene 6
CLBA1	C14orf79	clathrin binding box of aftiphilin containing 1
PLD4	C14orf175	phospholipase D family member 4
ADSSL1	MPD5	adenylosuccinate synthase like 1
CEND1P1	-	cell cycle exit and neuronal differentiation 1 pseudogene 1
RNASE11	C14orf6|HEL-S-84p|RAJ1	ribonuclease A family member 11 (inactive)
TPPP2	C14orf8|CT152|P18|p25beta	tubulin polymerization promoting protein family member 2
RNASE8	RAE2	ribonuclease A family member 8
MRPL52	-	mitochondrial ribosomal protein L52
PSMB11	BETA5T	proteasome subunit beta 11
OR4K14	OR14-18|OR14-22	olfactory receptor family 4 subfamily K member 14
OR4L1	OR14-28|OR4L2P	olfactory receptor family 4 subfamily L member 1
OR11H6	-	olfactory receptor family 11 subfamily H member 6
LRR1	4-1BBLRR|LRR-1|PPIL5	leucine rich repeat protein 1
KLHDC1	MST025	kelch domain containing 1
FRMD6	C14orf31|EX1|Willin|c14_5320	FERM domain containing 6
SOCS4	SOCS7	suppressor of cytokine signaling 4
NAA30	C14orf35|MAK3|Mak3p|NAT12|NAT12P	N(alpha)-acetyltransferase 30, NatC catalytic subunit
UBA52P3	RPL40_5_1373	ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 3
PPIAP5	-	peptidylprolyl isomerase A pseudogene 5
COX4I1P1	COX4L1|COX4P1	cytochrome c oxidase subunit 4I1 pseudogene 1
GPHB5	B5|GPB5|ZLUT1	glycoprotein hormone beta 5
PTBP1P	HNRNPIP	polypyrimidine tract binding protein 1 pseudogene
FXNP1	FRDAP	frataxin pseudogene 1
NOXRED1	C14orf148	NADP dependent oxidoreductase domain containing 1
CYCSP1	HC5|HCP36	cytochrome c, somatic pseudogene 1
JDP2	JUNDM2	Jun dimerization protein 2
ISCA2	HBLD1|ISA2|MMDS4|c14_5557	iron-sulfur cluster assembly 2
ACOT4	PTE-Ib|PTE1B|PTE2B	acyl-CoA thioesterase 4
TTC8	BBS8|RP51	tetratricopeptide repeat domain 8
TC2N	C14orf47|C2CD1|MTAC2D1|Tac2-N	tandem C2 domains, nuclear
SLC24A4	AI2A5|NCKX4|SHEP6|SLC24A2	solute carrier family 24 member 4
SLC25A29	C14orf69|CACL|ORNT3	solute carrier family 25 member 29
DEGS2	C14orf66|DES2|FADS8	delta 4-desaturase, sphingolipid 2
KLHL33	-	kelch like family member 33
LEO1	RDL	LEO1 homolog, Paf1/RNA polymerase II complex component
C15orf40	-	chromosome 15 open reading frame 40
SENP8	DEN1|NEDP1|PRSC2	SUMO peptidase family member, NEDD8 specific
MTFMT	COXPD15|FMT1	mitochondrial methionyl-tRNA formyltransferase
SLC51B	OSTB|OSTBETA	solute carrier family 51 beta subunit
TARSL2	-	threonyl-tRNA synthetase like 2
HIGD2B	HIGD2BP	HIG1 hypoxia inducible domain family member 2B
LRRC28	-	leucine rich repeat containing 28
TMEM266	C15orf27|HVRP1	transmembrane protein 266
NIPA1	FSP3|SLC57A1|SPG6	NIPA magnesium transporter 1
AGBL1	CCP4|FECD8	ATP/GTP binding protein like 1
HYKK	AGPHD1	hydroxylysine kinase
WHAMM	WHAMM1|WHDC1	WAS protein homolog associated with actin, golgi membranes and microtubules
FSD2	SPRYD1	fibronectin type III and SPRY domain containing 2
PLA2G4E	-	phospholipase A2 group IVE
C16orf46	-	chromosome 16 open reading frame 46
PRSS29P	ISP2	serine protease 29, pseudogene
NTAN1	PNAA|PNAD	N-terminal asparagine amidase
